Designator,Footprint,Mid X,Mid Y,Layer,Rotation,Comment
,,,,,,
SKT1,MAXI-CLIP,0.00mm,21.00mm,T,180,S1411-46R
SKT2,MAXI-CLIP,-0.00mm,-21.50mm,T,180,S1411-46R
SKT3,ACON_BBR43-24KB533,0.00mm,12.82mm,T,90,BBR43-24KB533
